Text,Label 1,Label 2,Label 3,Label 4,Label 5,Label 6,Label 7,Label 8
Ἔκρινα γὰρ τοῦτο ἐμαυτῷ τὸ μὴ πάλιν ἐλθεῖν ἐν λύπῃ πρὸς ὑμᾶς.,Negative,Negative,Ambiguous / Mixed,Negative,Negative,Ambiguous / Mixed,Negative,Positive
"εἰ γὰρ ἐγὼ λυπῶ ὑμᾶς, τίς ὁ εὐφραίνων με εἰ μὴ ὁ λυπούμενος ἐξ ὑμῶν;",Negative,Negative,Neutral,Negative,Negative,Negative,Ambiguous / Mixed,Ambiguous / Mixed
"καὶ τοῦτο ἔγραψα ὑμῖν, ἵνα μὴ ἐλθὼν λύπην σχῶ ἀφ’ ὧν ἔδει με χαίρειν, πεποιθὼς ἐπὶ πάντας ὑμᾶς ὅτι ἡ ἐμὴ χαρὰ πάντων ὑμῶν ἐστιν.",Ambiguous / Mixed,Ambiguous / Mixed,Positive,Ambiguous / Mixed,Ambiguous / Mixed,Ambiguous / Mixed,Ambiguous / Mixed,Ambiguous / Mixed
"ἐκ γὰρ πολλῆς θλίψεως καὶ συνοχῆς καρδίας ἔγραψα ὑμῖν διὰ πολλῶν δακρύων, οὐχ ἵνα λυπηθῆτε ἀλλὰ τὴν ἀγάπην ἵνα γνῶτε ἣν ἔχω περισσοτέρως εἰς ὑμᾶς.",Ambiguous / Mixed,Ambiguous / Mixed,Positive,Negative,Negative,Ambiguous / Mixed,Ambiguous / Mixed,Ambiguous / Mixed
"Εἰ δέ τις λελύπηκεν, οὐκ ἐμὲ λελύπηκεν ἀλλὰ ἀπὸ μέρους,—ἵνα μὴ ἐπιβαρῶ—πάντας ὑμᾶς.",Negative,Negative,Negative,Neutral,Negative,Ambiguous / Mixed,Negative,Negative
ἱκανὸν αὐτῷ τὸ ἐπιτίμιον τοῦτο τὸ ὑπὸ τῶν πλειόνων·,Neutral,Neutral,Negative,Neutral,Neutral,Negative,Negative,Negative
"ὥστε τοὐναντίον μᾶλλον ὑμᾶς χαρίσασθαι καὶ παρακαλέσαι, μή πως τῇ περισσοτέρᾳ λύπῃ καταποθῇ ὁ τοιοῦτος.",Positive,Positive,Negative,Neutral,Neutral,Ambiguous / Mixed,Positive,Ambiguous / Mixed
διὸ παρακαλῶ ὑμᾶς κυρῶσαι εἰς αὐτὸν ἀγάπην.,Positive,Positive,Positive,Neutral,Neutral,Positive,Positive,Ambiguous / Mixed
"εἰς τοῦτο γὰρ καὶ ἔγραψα ἵνα γνῶ τὴν δοκιμὴν ὑμῶν, εἰ εἰς πάντα ὑπήκοοί ἐστε.",Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
"ᾧ δέ τι χαρίζεσθε, κἀγώ· καὶ γὰρ ἐγὼ ὃ κεχάρισμαι, εἴ τι κεχάρισμαι, δι’ ὑμᾶς ἐν προσώπῳ Χριστοῦ,",Positive,Positive,Positive,Neutral,Neutral,Positive,Positive,Neutral
ἵνα μὴ πλεονεκτηθῶμεν ὑπὸ τοῦ Σατανᾶ· οὐ γὰρ αὐτοῦ τὰ νοήματα ἀγνοοῦμεν.,Negative,Negative,Positive,Neutral,Neutral,Neutral,Positive,Neutral
"Ἐλθὼν δὲ εἰς τὴν Τρῳάδα εἰς τὸ εὐαγγέλιον τοῦ Χριστοῦ καὶ θύρας μοι ἀνεῳγμένης ἐν Κυρίῳ,",Positive,Neutral,Positive,Positive,Neutral,Neutral,Positive,Positive
"οὐκ ἔσχηκα ἄνεσιν τῷ πνεύματί μου τῷ μὴ εὑρεῖν με Τίτον τὸν ἀδελφόν μου, ἀλλὰ ἀποταξάμενος αὐτοῖς ἐξῆλθον εἰς Μακεδονίαν.",Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative
Τῷ δὲ θεῷ χάρις τῷ πάντοτε θριαμβεύοντι ἡμᾶς ἐν τῷ Χριστῷ καὶ τὴν ὀσμὴν τῆς γνώσεως αὐτοῦ φανεροῦντι διʼ ἡμῶν ἐν παντὶ τόπῳ·,Positive,Positive,Positive,Positive,Positive,Ambiguous / Mixed,Positive,Positive
"ὅτι Χριστοῦ εὐωδία ἐσμὲν τῷ θεῷ ἐν τοῖς σῳζομένοις καὶ ἐν τοῖς ἀπολλυμένοις,",Ambiguous / Mixed,Ambiguous / Mixed,Positive,Positive,Neutral,Ambiguous / Mixed,Positive,Positive
"οἷς μὲν ὀσμὴ ἐκ θανάτου εἰς θάνατον, οἷς δὲ ὀσμὴ ἐκ ζωῆς εἰς ζωήν. καὶ πρὸς ταῦτα τίς ἱκανός;",Ambiguous / Mixed,Ambiguous / Mixed,Positive,Ambiguous / Mixed,Neutral,Ambiguous / Mixed,Neutral,Neutral
"ὦ ἀνόητοι Γαλάται, τίς ὑμᾶς ἐβάσκανεν, οἷς κατ’ ὀφθαλμοὺς Ἰησοῦς Χριστὸς ἐγράφη ἐσταυρωμένος;",Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative
"τοῦτο μόνον θέλω μαθεῖν ἀφ’ ὑμῶν, ἐξ ἔργων νόμου τὸ Πνεῦμα ἐλάβετε ἢ ἐξ ἀκοῆς πίστεως;",Neutral,Neutral,Negative,Neutral,Negative,Ambiguous / Mixed,Neutral,Negative
οὕτως ἀνόητοί ἐστε; ἐναρξάμενοι Πνεύματι νῦν σαρκὶ ἐπιτελεῖσθε;,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative
τοσαῦτα ἐπάθετε εἰκῇ; εἴ γε καὶ εἰκῇ.,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative
"ὁ οὖν ἐπιχορηγῶν ὑμῖν τὸ Πνεῦμα καὶ ἐνεργῶν δυνάμεις ἐν ὑμῖν, ἐξ ἔργων νόμου ἢ ἐξ ἀκοῆς πίστεως;",Neutral,Neutral,Negative,Neutral,Negative,Ambiguous / Mixed,Neutral,Negative
"καθὼς Ἀβραὰμ ἐπίστευσεν τῷ Θεῷ, καὶ ἐλογίσθη αὐτῷ εἰς δικαιοσύνην.",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Neutral
"ἄρατε γινώσκετε ὅτι οἱ ἐκ πίστεως, οὗτοι υἱοί εἰσιν Ἀβραάμ.",Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive,
προϊδοῦσα δὲ ἡ γραφὴ ὅτι ἐκ πίστεως δικαιοῖ τὰ ἔθνη ὁ Θεὸς προευηγγελίσατο τῷ Ἀβραὰμ ὅτι ἐνευλογηθήσονται ἐν σοὶ πάντα τὰ ἔθνη.,Positive,Positive,Neutral,Neutral,Neutral,Neutral,Positive,Neutral
ὥστε οἱ ἐκ πίστεως εὐλογοῦνται σὺν τῷ πιστῷ Ἀβραάμ.,Positive,Positive,Neutral,Neutral,Neutral,Positive,Positive,Neutral
ὅσοι γὰρ ἐξ ἔργων νόμου εἰσὶν ὑπὸ κατάραν εἰσίν· γέγραπται γὰρ ὅτι Ἐπικατάρατος πᾶς ὃς οὐκ ἐμμένει πᾶσιν τοῖς γεγραμμένοις ἐν τῷ βιβλίῳ τοῦ νόμου τοῦ ποιῆσαι αὐτά.,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative
"ὅτι δὲ ἐν νόμῳ οὐδεὶς δικαιοῦται παρὰ τῷ Θεῷ δῆλον, ὅτι Ὁ δίκαιος ἐκ πίστεως ζήσεται.",Negative,Neutral,Negative,Neutral,Neutral,Ambiguous / Mixed,Negative,Neutral
"ὁ δὲ νόμος οὐκ ἔστιν ἐκ πίστεως, ἀλλ’ Ὁ ποιήσας αὐτὰ ζήσεται ἐν αὐτοῖς.",Neutral,Neutral,Negative,Neutral,Neutral,Ambiguous / Mixed,Negative,Negative
