text,valence_score
Κάλχαντα πρώτιστα κάκ' ὀσσόμενος προσέειπε·,-1.0
ἀλλ' ἤτοι ἔπεσιν μὲν ὀνείδισον ὡς ἔσεταί περ·,0.75
"ἦ γὰρ ὀίομαι ἄνδρα χολωσέμεν, ὃς μέγα πάντων",-0.375
"ἀλλ' οὐκ Ἀτρεΐδῃ Ἀγαμέμνονι ἥνδανε θυμῷ,",-0.625
"Ἥρη, μὴ δὴ πάντας ἐμοὺς ἐπιέλπεο μύθους",0.0
"δωδεκάτῃ δέ τοι αὖτις ἐλεύσεται Οὔλυμπον δέ,",-0.375
"κάππεσον ἐν Λήμνῳ, ὀλίγος δ' ἔτι θυμὸς ἐνῆεν·",-0.125
ᾗς ὑπεροπλίῃσι τάχ' ἄν ποτε θυμὸν ὀλέσσῃ.,-0.375
"Τέκνον, τί κλαίεις; τί δέ σε φρένας ἵκετο πένθος;",-0.25
ἱστὸν ἐποιχομένην καὶ ἐμὸν λέχος ἀντιόωσαν·,-0.75
μητρὶ δ' ἐγὼ παράφημι καὶ αὐτῇ περ νοεούσῃ,0.375
"Κλῦθί μευ ἀργυρότοξ', ὃς Χρύσην ἀμφιβέβηκας",0.75
"εὐξαμένου ἤκουσεν, ἐπεὶ μάλα οἱ φίλος ἦεν,",-0.125
ἠτίμησεν· ἑλὼν γὰρ ἔχει γέρας αὐτὸς ἀπούρας.,-0.75
ἥρως Ἀτρεΐδης εὐρὺ κρείων Ἀγαμέμνων,-0.25
Ἥφαιστος ποίησεν ἰδυίῃσι πραπίδεσσι·,0.75
ἄμφω ὁμῶς θυμῷ φιλέουσά τε κηδομένη τε·,0.625
"Ὣς φάτο Πηλεΐδης, ποτὶ δὲ σκῆπτρον βάλε γαίῃ",0.0
καὶ νήεσσ’ ἡγήσατ’ Ἀχαιῶν Ἴλιον εἴσω,0.5
"φύσει, ἐπεὶ δὴ πρῶτα τομὴν ἐν ὄρεσσι λέλοιπεν,",-0.25
ἀλλὰ σύ πέρ μιν τῖσον Ὀλύμπιε μητίετα Ζεῦ·,0.5
"οὐ γὰρ πώποτ' ἐμὰς βοῦς ἤλασαν οὐδὲ μὲν ἵππους,",0.625
