text,valence_score
"Μῆνιν ἄειδε, θεά, Πηληιάδεω Ἀχιλῆος",0.375
"οὐλομένην, ἣ μυρί’ Ἀχαιοῖς ἄλγε’ ἔθηκε,",-0.375
πολλὰς δ’ ἰφθίμους ψυχὰς Ἄϊδι προΐαψεν,-0.75
"ἡρώων, αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν",-0.75
οἰωνοῖσί τε πᾶσι· Διὸς δ’ ἐτελείετο βουλή·,-0.25
ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε,-0.375
Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς.,0.25
Τίς γάρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;,0.0
Λητοῦς καὶ Διὸς υἱός· ὃ γὰρ βασιλῆι χολωθεὶς,0.125
"νοῦσον ἀνὰ στρατὸν ὦρσε κακήν, ὀλέκοντο δὲ λαοί,   ",-0.75
οὕνεκα τὸν Χρύσην ἠτίμασεν ἀρητῆρα,-0.5
Ἀτρεΐδης· ὃ γὰρ ἦλθε θοὰς ἐπὶ νῆας Ἀχαιῶν,0.125
"λυσόμενός τε θύγατρα φέρων τ’ ἀπερείσι’ ἄποινα,",0.125
στέμματ' ἔχων ἐν χερσὶν ἑκηβόλου Ἀπόλλωνος,0.375
"χρυσέῳ ἀνὰ σκήπτρῳ, καὶ λίσσετο πάντας Ἀχαιούς,",0.25
"Ἀτρεΐδα δὲ μάλιστα δύω, κοσμήτορε λαῶν·",0.125
"Ἀτρεΐδαι τε καὶ ἄλλοι ἐϋκνήμιδες Ἀχαιοί,",0.25
ὑμῖν μὲν θεοὶ δοῖεν Ὀλύμπια δώματ’ ἔχοντες,0.5
"ἐκπέρσαι Πριάμοιο πόλιν, εὖ δ’ οἴκαδ’ ἱκέσθαι·",0.875
"παῖδα δ' ἐμοὶ λύσαιτε φίλην, τὰ δ’ ἄποινα δέχεσθαι,   ",0.625
ἁζόμενοι Διὸς υἱὸν ἑκηβόλον Ἀπόλλωνα.,0.0
Ἔνθ' ἄλλοι μὲν πάντες ἐπευφήμησαν Ἀχαιοὶ,0.375
αἰδεῖσθαί θ’ ἱερῆα καὶ ἀγλαὰ δέχθαι ἄποινα·,0.0
"ἀλλ' οὐκ Ἀτρεΐδῃ Ἀγαμέμνονι ἥνδανε θυμῷ,",-0.5
"ἀλλὰ κακῶς ἀφίει, κρατερὸν δ’ ἐπὶ μῦθον ἔτελλε·",-0.875
"Μή σε, γέρον κοίλῃσιν ἐγὼ παρὰ νηυσὶ κιχείω",-1.0
"ἢ νῦν δηθύνοντ’ ἢ ὕστερον αὖτις ἰόντα,",-0.625
μή νύ τοι οὐ χραίσμῃ σκῆπτρον καὶ στέμμα θεοῖο·,-1.0
τὴν δ’ ἐγὼ οὐ λύσω· πρίν μιν καὶ γῆρας ἔπεισιν,-1.0
"ἡμετέρῳ ἐνὶ οἴκῳ ἐν Ἄργεϊ, τηλόθι πάτρης,   ",-0.75
ἱστὸν ἐποιχομένην καὶ ἐμὸν λέχος ἀντιόωσαν·,-0.75
"ἀλλ’ ἴθι μή μ’ ἐρέθιζε, σαώτερος ὥς κε νέηαι.",-1.0
Ὣς ἔφατ’· ἔδεισεν δ’ ὁ γέρων καὶ ἐπείθετο μύθῳ·,0.0
βῆ δ’ ἀκέων παρὰ θῖνα πολυφλοίσβοιο θαλάσσης·,-0.25
πολλὰ δ’ ἔπειτ’ ἀπάνευθε κιὼν ἠρᾶθ’ ὁ γεραιὸς,0.25
"Ἀπόλλωνι ἄνακτι, τὸν ἠύκομος τέκε Λητώ·",0.125
"Κλῦθί μευ, Ἀργυρότοξ’, ὃς Χρύσην ἀμφιβέβηκας",0.5
"Κίλλάν τε ζαθέην Τενέδοιό τε ἶφι ἀνάσσεις,",0.5
"Σμινθεῦ, εἴ ποτέ τοι χαρίεντ’ ἐπὶ νηὸν ἔρεψα,",0.375
ἢ εἰ δή ποτέ τοι κατὰ πίονα μηρί’ ἔκηα   ,0.125
"ταύρων ἠδ’ αἰγῶν, τὸδε μοι κρήηνον ἐέλδωρ·",0.125
τίσειαν Δαναοὶ ἐμὰ δάκρυα σοῖσι βέλεσσιν.,0.0
"Ὣς ἔφατ’ εὐχόμενος, τοῦ δ’ ἔκλυε Φοῖβος Ἀπόλλων,",0.0
"βῆ δὲ κατ’ Οὐλύμποιο καρήνων χωόμενος κῆρ,",0.0
τόξ’ ὤμοισιν ἔχων ἀμφηρεφέα τε φαρέτρην·,0.25
"ἔκλαγξαν δ’ ἄρ’ ὀιστοὶ ἐπ’ ὤμων χωομένοιο,",0.0
αὐτοῦ κινηθέντος· ὁ δ’ ἤιε νυκτὶ ἐοικώς·,0.25
"ἕζετ’ ἔπειτ’ ἀπάνευθε νεῶν, μετὰ δ’ ἰὸν ἕηκε·",0.0
δεινὴ δὲ κλαγγὴ γένετ’ ἀργυρέοιο βιοῖο·,-0.25
"οὐρῆας μὲν πρῶτον ἐπῴχετο καὶ κύνας ἀργούς,   ",-0.25
αὐτὰρ ἔπειτ’ αὐτοῖσι βέλος ἐχεπευκὲς ἐφιεὶς,-0.5
βάλλ’· αἰεὶ δὲ πυραὶ νεκύων καίοντο θαμειαί.,-0.5
"Ἐννῆμαρ μὲν ἀνὰ στρατὸν ᾤχετο κῆλα θεοῖο,",0.0
τῇ δεκάτῃ δ' ἀγορὴν δὲ καλέσσατο λαὸν Ἀχιλλεύς·,0.625
τῷ γὰρ ἐπὶ φρεσὶ θῆκε θεὰ λευκώλενος Ἥρη·,0.75
"κήδετο γὰρ Δαναῶν, ὅτι ῥα θνήσκοντας ὁρᾶτο·",-0.125
"οἳ δ’ ἐπεὶ οὖν ἤγερθεν ὁμηγερέες τ’ ἐγένοντο,",0.625
τοῖσι δ’ ἀνιστάμενος μετέφη πόδας ὠκὺς Ἀχιλλεύς·,0.625
"Ἀτρεΐδη, νῦν ἄμμε παλιμπλαγχθέντας ὀίω",0.875
"ἂψ ἀπονοστήσειν, εἴ κεν θάνατόν γε φύγοιμεν,   ",0.125
εἰ δὴ ὁμοῦ πόλεμός τε δαμᾷ καὶ λοιμὸς Ἀχαιούς·,-0.125
"ἀλλ’ ἄγε δή τινα μάντιν ἐρείομεν ἢ ἱερῆα,",0.5
"ἢ καὶ ὀνειροπόλον, καὶ γάρ τ’ ὄναρ ἐκ Διός ἐστιν,",0.25
"ὅς κ’ εἴποι ὅ τι τόσσον ἐχώσατο Φοῖβος Ἀπόλλων,",-0.125
"εἴ ταρ ὅ γ’ εὐχωλῆς ἐπιμέμφεται ἠδ’ ἑκατόμβης,",-0.25
αἴ κέν πως ἀρνῶν κνίσης αἰγῶν τε τελείων,0.25
βούλεται ἀντιάσας ἡμῖν ἀπὸ λοιγὸν ἀμῦναι.,0.375
Ἤτοι ὅ γ’ ὣς εἰπὼν κατ’ ἄρ’ ἕζετο· τοῖσι δ’ ἀνέστη,0.0
"Κάλχας Θεστορίδης, οἰωνοπόλων ὄχ’ ἄριστος,",0.625
"ὃς ᾔδη τά τ’ ἐόντα τά τ’ ἐσσόμενα πρό τ’ ἐόντα,   ",0.5
καὶ νήεσσ’ ἡγήσατ’ Ἀχαιῶν Ἴλιον εἴσω,0.5
"ἣν διὰ μαντοσύνην, τήν οἱ πόρε Φοῖβος Ἀπόλλων·",0.5
ὅ σφιν ἐὺ φρονέων ἀγορήσατο καὶ μετέειπεν·,0.5
"Ὦ Ἀχιλεῦ, κέλεαί με, Διῒ φίλε, μυθήσασθαι",0.25
μῆνιν Ἀπόλλωνος ἑκατηβελέταο ἄνακτος·,0.125
τοὶ γὰρ ἐγὼν ἐρέω· σὺ δὲ σύνθεο καί μοι ὄμοσσον,0.375
ἦ μέν μοι πρόφρων ἔπεσιν καὶ χερσὶν ἀρήξειν·,0.625
"ἦ γὰρ ὀίομαι ἄνδρα χολωσέμεν, ὃς μέγα πάντων",-0.375
Ἀργείων κρατέει καί οἱ πείθονται Ἀχαιοί·,-0.25
κρείσσων γὰρ βασιλεὺς ὅτε χώσεται ἀνδρὶ χέρηι·   ,0.0
"εἴ περ γάρ τε χόλον γε καὶ αὐτῆμαρ καταπέψῃ,",-0.25
"ἀλλά τε καὶ μετόπισθεν ἔχει κότον, ὄφρα τελέσσῃ,",-0.125
ἐν στήθεσσιν ἑοῖσι· σὺ δὲ φράσαι εἴ με σαώσεις.,0.25
Τὸν δ’ ἀπαμειβόμενος προσέφη πόδας ὠκὺς Ἀχιλλεύς·,0.0
Θαρσήσας μάλα εἰπὲ θεοπρόπιον ὅ τι οἶσθα·,1.0
"οὐ μὰ γὰρ Ἀπόλλωνα Διῒ φίλον, ᾧ τε σὺ, Κάλχαν,",0.375
"εὐχόμενος Δαναοῖσι θεοπροπίας ἀναφαίνεις,",0.5
οὔ τις ἐμεῦ ζῶντος καὶ ἐπὶ χθονὶ δερκομένοιο,0.5
σοὶ κοίλῃς παρὰ νηυσὶ βαρείας χεῖρας ἐποίσει,1.0
"συμπάντων Δαναῶν, οὐδ’ ἢν Ἀγαμέμνονα εἴπῃς,   ",0.375
ὃς νῦν πολλὸν ἄριστος Ἀχαιῶν εὔχεται εἶναι.,0.5
Καὶ τότε δὴ θάρσησε καὶ ηὔδα μάντις ἀμύμων·,0.0
"Οὔ τ’ ἄρ ὅ γ’ εὐχωλῆς ἐπιμέμφεται οὐδ’ ἑκατόμβης,",0.5
"ἀλλ’ ἕνεκ’ ἀρητῆρος, ὃν ἠτίμησ’ Ἀγαμέμνων,",-0.375
οὐδ’ ἀπέλυσε θύγατρα καὶ οὐκ ἀπεδέξατ’ ἄποινα·,-0.5
"τοὔνεκ’ ἄρ’ ἄλγε’ ἔδωκεν ἑκηβόλος ἠδ’ ἔτι δώσει,",-0.25
οὐδ’ ὅ γε πρὶν Δαναοῖσιν ἀεικέα λοιγὸν ἀπώσει,-0.375
πρίν γ’ ἀπὸ πατρὶ φίλῳ δόμεναι ἑλικώπιδα κούρην,0.0
"ἀπριάτην ἀνάποινον, ἄγειν θ’ ἱερὴν ἑκατόμβην",0.25
ἐς Χρύσην· τότε κέν μιν ἱλασσάμενοι πεπίθοιμεν.   ,0.375
Ἤτοι ὅ γ' ὣς εἰπὼν κατ' ἄρ' ἕζετο· τοῖσι δ' ἀνέστη,0.0
ἥρως Ἀτρεΐδης εὐρὺ κρείων Ἀγαμέμνων,-0.25
ἀχνύμενος· μένεος δὲ μέγα φρένες ἀμφιμέλαιναι,-1.0
"πίμπλαντ', ὄσσε δέ οἱ πυρὶ λαμπετόωντι ἐΐκτην·",-1.0
Κάλχαντα πρώτιστα κάκ' ὀσσόμενος προσέειπε·,-1.0
Μάντι κακῶν οὐ πώ ποτέ μοι τὸ κρήγυον εἶπας·,-1.0
"αἰεί τοι τὰ κάκ' ἐστὶ φίλα φρεσὶ μαντεύεσθαι,",-1.0
ἐσθλὸν δ' οὔτέ τί πω εἶπας ἔπος οὔτ' ἐτέλεσσας·,-1.0
καὶ νῦν ἐν Δαναοῖσι θεοπροπέων ἀγορεύεις,-0.625
"ὡς δὴ τοῦδ' ἕνεκά σφιν ἑκηβόλος ἄλγεα τεύχει,   ",-0.625
οὕνεκ' ἐγὼ κούρης Χρυσηΐδος ἀγλά' ἄποινα,-0.25
"οὐκ ἔθελον δέξασθαι, ἐπεὶ πολὺ βούλομαι αὐτὴν",0.0
