text,valence_score
λίσσομαι εἵνεκ' ἐμεῖο μένειν· πάρ' ἔμοιγε καὶ ἄλλοι,-0.625
πρίν γ’ ἀπὸ πατρὶ φίλῳ δόμεναι ἑλικώπιδα κούρην,0.0
ἡ σωτηρία τοῦ κυρίου γεμίζει με εἰρήνης καὶ ἀγαλλιάσεως.,0.875
"ἕζετ’ ἔπειτ’ ἀπάνευθε νεῶν, μετὰ δ’ ἰὸν ἕηκε·",0.0
"Τοῖς μὲν γὰρ ἡμῶν ὁ λόγος ἐστὶν ὀσμὴ θανάτου εἰς θάνατον, τοῖς δὲ ὀσμὴ ζωῆς εἰς ζωὴν αἰώνιον. Καὶ πρὸς ταῦτα τίς ἱκανός;",0.125
"Πῶς γὰρ νοῶ τὰς ἐμαυτοῦ πράξεις; οὐ γὰρ δύναμαι ἐπιτελέσαι ἃ ἀεὶ βούλομαι, ἀλλὰ τοῦτο ἐργάζομαι ὃ μισῶ.",-0.875
"Οἱ ἀγροὶ ἡμῶν μικρὸν καρπὸν ἔδωκαν φέτος, καὶ ἡ ψυχὴ ἡμῶν σκυθρωπή ἐστιν.",-0.375
βλέπω δὲ ἕτερον νόμον ἐν τοῖς μέλεσίν μου ἀντιστρατευόμενον τῷ νόμῳ τοῦ νοός μου καὶ αἰχμαλωτίζοντά με ἐν τῷ νόμῳ τῆς ἁμαρτίας τῷ ὄντι ἐν τοῖς μέλεσίν μου.,-0.75
"οὐ μὲν φόρμιγγος περικαλλέος ἣν ἔχ' Ἀπόλλων,",0.5
"Διὰ τί ἀμελεῖτε τῶν προσταγμάτων, καὶ οὐκ ἀκολουθεῖτε τῇ ὁδῷ;",-0.375
ὣς ὃ μὲν ἔνθα καθέζετ' ἐπὶ θρόνου· οὐδέ μιν Ἥρη,-0.125
πᾶσαν χάριν καὶ πᾶσαν εὐλογίαν ὁ Κύριος παρέχει ἡμῖν πλουσίως εἰς τὴν αἰώνιον ζωήν.,0.875
"ἐσθλῆς ἔσσεται ἦδος, ἐπεὶ τὰ χερείονα νικᾷ.",-0.5
μύθῳ Ἀθηναίης· ἣ δ' Οὔλυμπον δὲ βεβήκει,0.5
