text,valence_score
μητρὶ δ' ἐγὼ παράφημι καὶ αὐτῇ περ νοεούσῃ,0.375
"ἐν παλάμῃς φορέουσι δικασπόλοι, οἵ τε θέμιστας",0.5
"ἀνστήτην, λῦσαν δ' ἀγορὴν παρὰ νηυσὶν Ἀχαιῶν·",0.0
χωόμενον κατὰ θυμὸν ἐϋζώνοιο γυναικὸς,-0.75
"ἢ ἀπόειπ', ἐπεὶ οὔ τοι ἔπι δέος, ὄφρ' ἐῢ εἰδῶ",-0.25
"καὶ τοῦτο πεποιθὼς οἶδα ὅτι μενῶ καὶ συμπαραμενῶ πᾶσιν ὑμῖν εἰς τὴν ὑμῶν προκοπὴν καὶ χαρὰν τῆς πίστεως,",0.75
ἐξ ἑδέων στυφελίξαι· ὃ γὰρ πολὺ φέρτατός ἐστιν.,0.0
"ἧος ὃ ταῦθ' ὥρμαινε κατὰ φρένα καὶ κατὰ θυμόν,",0.125
ἄσβεστος δ' ἄρ' ἐνῶρτο γέλως μακάρεσσι θεοῖσιν,0.5
"Ὤ μοι τέκνον ἐμόν, τί νύ σ' ἔτρεφον αἰνὰ τεκοῦσα;",-1.0
"καθὼς Ἀβραὰμ ἐπίστευσεν τῷ Θεῷ, καὶ ἐλογίσθη αὐτῷ εἰς δικαιοσύνην.",0.125
ἐν δὲ θεοῖσι κολῳὸν ἐλαύνετον· οὐδέ τι δαιτὸς,-0.5
νῦν δ' ἅμα τ' ὠκύμορος καὶ ὀϊζυρὸς περὶ πάντων,-1.0
"λυσόμενός τε θύγατρα φέρων τ’ ἀπερείσι’ ἄποινα,",0.125
ἐνθάδ' ἄτιμος ἐὼν ἄφενος καὶ πλοῦτον ἀφύξειν.,0.375
καί ποτέ τοι τρὶς τόσσα παρέσσεται ἀγλαὰ δῶρα,1.0
ἦ ποτ' Ἀχιλλῆος ποθὴ ἵξεται υἷας Ἀχαιῶν   ,0.375
μή νύ τοι οὐ χραίσμωσιν ὅσοι θεοί εἰσ' ἐν Ὀλύμπῳ,-0.375
"Μή σε, γέρον κοίλῃσιν ἐγὼ παρὰ νηυσὶ κιχείω",-1.0
ἀλλὰ σὺ εἰ δύνασαί γε περίσχεο παιδὸς ἑῆος·,0.125
"τριπλῇ τετραπλῇ τ' ἀποτείσομεν, αἴ κέ ποθι Ζεὺς",0.75
"καρπὸν ἐδηλήσαντ', ἐπεὶ ἦ μάλα πολλὰ μεταξὺ",0.375
"Ὣς εἰπὼν προΐει, κρατερὸν δ' ἐπὶ μῦθον ἔτελλε·",0.0
"εἴ περ γάρ τε χόλον γε καὶ αὐτῆμαρ καταπέψῃ,",-0.25
ἐς Χρύσην· τότε κέν μιν ἱλασσάμενοι πεπίθοιμεν.   ,0.375
τῇ δεκάτῃ δ' ἀγορὴν δὲ καλέσσατο λαὸν Ἀχιλλεύς·,0.625
ἧχι ἑκάστῳ δῶμα περικλυτὸς ἀμφιγυήεις,0.625
ἠδ' ἔτι καὶ νῦν μοι τόδ' ἐπικρήηνον ἐέλδωρ·,0.5
"ἀλλ' ἄγε λῆγ' ἔριδος, μηδὲ ξίφος ἕλκεο χειρί·   ",1.0
τοῦτο γὰρ ἐξ ἐμέθεν γε μετ' ἀθανάτοισι μέγιστον,0.375
εἰ δ' οὕτω τοῦτ' ἐστὶν ἐμοὶ μέλλει φίλον εἶναι·,-0.25
"Ἀτρεΐδαι τε καὶ ἄλλοι ἐϋκνήμιδες Ἀχαιοί,",0.25
κάρτιστοι μὲν ἔσαν καὶ καρτίστοις ἐμάχοντο,0.875
"πάντες ἅμα, Ζεὺς δ' ἦρχε· Θέτις δ' οὐ λήθετ' ἐφετμέων",0.125
τόξ’ ὤμοισιν ἔχων ἀμφηρεφέα τε φαρέτρην·,0.25
"ἂψ δ' ἐς κουλεὸν ὦσε μέγα ξίφος, οὐδ' ἀπίθησε   ",0.375
"ὅτι Χριστοῦ εὐωδία ἐσμὲν τῷ θεῷ ἐν τοῖς σῳζομένοις καὶ ἐν τοῖς ἀπολλυμένοις,",0.5
"Κλῦθί μευ, Ἀργυρότοξ’, ὃς Χρύσην ἀμφιβέβηκας",0.5
Ἥφαιστος ποίησεν ἰδυίῃσι πραπίδεσσι·,0.75
Ἀτρεΐδης· ὃ γὰρ ἦλθε θοὰς ἐπὶ νῆας Ἀχαιῶν,0.125
ἣ δὲ καὶ αὔτως μ' αἰεὶ ἐν ἀθανάτοισι θεοῖσι   ,-0.75
"καὶ μὴ πτυρόμενοι ἐν μηδενὶ ὑπὸ τῶν ἀντικειμένων, ἥτις ἐστὶν αὐτοῖς ἔνδειξις ἀπωλείας, ὑμῶν δὲ σωτηρίας, καὶ τοῦτο ἀπὸ Θεοῦ·",0.375
"παῖδά τε σοὶ ἀγέμεν, Φοίβῳ θ' ἱερὴν ἑκατόμβην",1.0
ἄμφω ὁμῶς θυμῷ φιλέουσά τε κηδομένη τε·,0.625
"εἰ δὲ σὺ καρτερός ἐσσι θεὰ δέ σε γείνατο μήτηρ,   ",0.75
οὐρανόθεν· πρὸ γὰρ ἧκε θεὰ λευκώλενος Ἥρη,0.375
"συνήδομαι γὰρ τῷ νόμῳ τοῦ θεοῦ κατὰ τὸν ἔσω ἄνθρωπον,",0.875
αἴθ' ὄφελες παρὰ νηυσὶν ἀδάκρυτος καὶ ἀπήμων,-0.75
"καὶ τότ' ἔπειτά τοι εἶμι Διὸς ποτὶ χαλκοβατὲς δῶ,",-0.25
εἰ δέ μιν αἰχμητὴν ἔθεσαν θεοὶ αἰὲν ἐόντες   ,-0.25
καί μιν φωνήσας ἔπεα πτερόεντα προσηύδα·,-0.375
"καῖε δ' ἐπὶ σχίζῃς ὁ γέρων, ἐπὶ δ' αἴθοπα οἶνον",0.375
χωόμενος δ' ὁ γέρων πάλιν ᾤχετο· τοῖο δ' Ἀπόλλων   ,-0.625
